ลำดับ,อ้างอิงภายใน,ชื่อ,Sales Price,ปริมาณในมือ,กล่องขาออก,ปริมาณพยากรณ์,หน่วยวัด,Activity Exception Decoration
1,CB336,โพสต์อิทแฟลทสะท้อนแสง G-052-21017 12 x 50 มม.,500,0,0,0,โหล,
1,CB123,โพสต์อิทแฟล็กซ์ 5 สี 683-5CF 0.5 x 1.7 นิ้ว,108,0,0,0,ห่อ,
100,#CHP006,โพแตสเซียมคลอไรด์ 100 กรัม,142,7,0,7,กระปุก,
1,#CHP009,โพแตสเซียมไฮดรอกไซค์ 350 กรัม,400,0,0,0,กระปุก,
1,AC072,โพแทสเซียม ได-ไฮโดรเจน ฟอสเฟต 500g. ,1500,0,0,0,กระป๋อง,
41,#CHA002,โพแทสเซียมอลัม (สารส้ม) 450 กรัม,175,3,0,3,กระปุก,
97,#CHP003,โพแทสเซียมเปอร์มังกาเนต (ด่างทับทิม) 100 กรัม,219,5,0,5,กระปุก,
1,AC126,โพแทสเซียมไอโอไดต์ 100 กรัม (CE-735),1279,0,0,0,กระป๋อง,
1,2DKA00667,โฟม ขนาด 1/2 นิ้ว  (อย่างแน่น) ขนาด 60 x 100 ซม.  ไม่มียี่ห้อ  ไม่มี มอก.,0,0,0,0,แผ่น,
1,CB122,โฟมกันกะแทก,155,0,0,0,ม้วน,
1,BA017,โฟมช่วยพยุงตัวว่ายน้ำ ลายการ์ตูน,294,0,0,0,อัน,
1,CB1224P,โฟมยาง 3 มิล ขนาด 40 x 60 ซม. สีชมพู (10 แผ่น / ห่อ),448,0,0,0,ห่อ,
1,CB1224BK,โฟมยาง 3 มิล ขนาด 40 x 60 ซม. สีดำ (10 แผ่น / ห่อ),448,0,0,0,ห่อ,
1,CB1224BU,โฟมยาง 3 มิล ขนาด 40 x 60 ซม. สีฟ้า (10 แผ่น / ห่อ),448,0,0,0,ห่อ,
1,CB1224PU,โฟมยาง 3 มิล ขนาด 40 x 60 ซม. สีม่วง (10 แผ่น / ห่อ),448,0,0,0,ห่อ,
1,CB1224G,โฟมยาง 3 มิล ขนาด 40 x 60 ซม. สีเขียว (10 แผ่น / ห่อ),448,0,0,0,ห่อ,
1,CB1224Y,โฟมยาง 3 มิล ขนาด 40 x 60 ซม. สีเหลือง (10 แผ่น / ห่อ),448,0,0,0,ห่อ,
1,CB1224R,โฟมยาง 3 มิล ขนาด 40 x 60 ซม. สีแดง (10 แผ่น / ห่อ),448,0,0,0,ห่อ,
1,CB1396,โฟมยาง EVA ขนาด A4 หนา 2 มิล สีดำ,184,0,0,0,แผ่น,
1,CB200,โฟมรูปหัวใจ No.6,67,0,0,0,อัน,
1,CB201,โฟมอัดเรียบ ขนาด 60 x 100 cm. หนา 3 มิล,168,0,0,0,แผ่น,
1,#EV021,โฟมอีวีเอวัดส่วนสูงนกกระจอกเทศ 3 ชิ้น ,400,9,0,9,ชุด,
1,#EV002-2,โฟมอีวีเอวัดส่วนสูงยีราฟ 3 ชิ้น,400,7,1,6,ชุด,
1,EV023,โฟมอีวีเอวัดส่วนสูงหนู,400,12,0,12,ชุด,
1,EV002-3,โฟมอีวีเอวัดส่วนสูงอีมู 3 ชิ้น,400,33,0,33,ชุด,
